producto;Mediamarkt;Worten;Carrefour;Elcorteingles
49PUS655112;;;;
55UJ670V;;742.98;949;999
22MT44D;;;;
24MT49DFPZ;;;;
22NVR751022HDN;;;;
EUE40J5000AW;;;;
EUE32J5000;;;;
40VLE6520BH;;;;
H55M3300;;;699;
UE22H5000AWXXC;;;;
EUE40J5100;;;;
UE55MU6105KXXC;767.00;908.26;;
UE40MU6105KXXC;496.00;495.04;;
EUE32J4000AWXXC;219.00;;;
UE65MU9005TXXC;1989.00;1900.00;;
H60NEC5600;;;;
UE40J5200AWXXC;399.00;371.07;;
UE55MU9005TXXC;1363.00;1362.81;;
H43N2100C;;299.00;;
43UJ620V;;;579;
22MT57DPZ;;;;
24MT41DFPZ;;;;
28MT49VFPZ;;;189;
32LJ610V;291.00;263.64;299;299
24MT48DFPZ;;;179;
LED390GSMT;;;;
EUE32M4002AK;;;;
KDL32WD750BAEP;373.00;;;
LED320GSMT;;;;
UE22H5600AWXXC;272.00;;;
UE32EH4003WXXC;;;;
LED420GSMT;;;;
48VLE4520BF;;;;
NVR741216HDN12V;;;;
UE32J4510AWXXC;219.00;;;
H43N5700;;387.60;499;499
55VLX7730BP;;;;
H49M2600;;;;
42LF652V;;;;
43UJ670V;;478.51;599;649
49VLX7730BP;;;;
KDL48WD650BAEP;449.00;;;
UE40K6300AKXXC;;;599;
KD43XE7096BAEP;595.00;594.21;639;
UE55K5500AKXXC;;;;
UE55KU6100KXXC;;;;
KD43X8308CBAEP;;;;
H55N5700;;577.69;799;679
LED4018SMT;;;;
42PFS4012;;;;
KD49X8308CBAEP;;;;
UE55M6305AKXXC;767.00;742.98;;
65UJ630V;;;1.399;
UE55MU7005TXXC;1010.00;;959;
TX55CX680E;;;;
UE40MU6405UXXC;588.00;495.04;599;
H65M7000;109.00;;1.599;
UE65MU6505UXXC;1446.00;1610.74;;
UE65KU6500UXXC;;1610.74;1.599;
KD55XD8505BAEP;;;;
KDL43W808CBAEP;559.00;;;
KDL40RE450BAEP;470.00;;479;
KD49XE7096BAEP;636.00;635.54;659;
43UH661V;;;;
UE49MU8005TXXC;;990.91;1.249;
UE75MU6105KXXC;2399.00;2313.22;;
UE55KU6510UXXC;;908.26;;
32PHT411212;;;215;
55C7V;;1797.52;1.999;1.799
28MT49SPZ;;;219;
KDL48W705CBAEP;;;;
UE49MU6105KXXC;616.00;615.70;;
43VLE6621BP;;;;
65UJ670V;;;1.599;1.299
49PUH610188;;;610;
KDL32WE610BAEP;359.00;328.10;363;
H70NU9700;;;2.999;
55UH600V;;;;
32LJ510U;245.00;222.31;232;279
32LH604V;;;;
55PUS616212;;;;
UE28J4100AWXXC;199.00;;;
UE32J4000AWXXC;219.00;371.07;;
UE22K5000AWXXC;;;;
UE32M5605AKXXC;274.00;263.64;;
QE55Q8CAMTXXC;2199.00;2349.00;;
KD49XE8096BAEP;850.00;1139.67;899;
43LJ594V;;;;
55EG9A7V;1049.00;1073.55;;
KD55XD7005BAEP;899.00;;;
QE65Q7FAMTXXC;2505.00;;;
UE49KS7500UXXC;;908.26;;
55UJ620V;;;899;
QE65Q7CAMTXXC;2537.00;2536.36;;
QE55Q7CAMTXXC;1769.00;1734.71;;
48VLE6520BH;;;;
49SJ810V;1187.00;;1.199;
UE49MU9005TXXC;1230.00;1156.20;;
QE49Q7FAMTXXC;1391.00;1387.60;;
49UJ634V;;;556;599
UE55MU8005TXXC;1133.00;1362.81;;
H65N5750;;825.62;1.199;"Mostrar cuatro productos por fila"
49UH610V;;;;
E43LH510V;;;;
49LJ594V;;;579;579
UE55MU6205KXXC;826.00;825.62;;
NVR740932HDN;;;;
H55N6800;;825.62;999;999
KDL32R400CBAEP;333.00;;;
KDL49WE750BAEP;599.00;495.04;;
EUE65MU6122K;;;;
55UH661V;;;;
UE49MU6405UXXC;679.00;825.62;879;
UE43MU6105KXXC;549.00;486.78;;
55UJ630V;;;739;
28SUN19TS;;;;
28NVR740428HDN;;;;
55VLE6621BP;;;504;
UE55M5505AKXXC;;742.98;;
E43LJ500V;;;;
40VLX7730BP;;;;
49LJ614V;;;579;629
H39N2110C;;;;
H49N5700;;453.72;599;599
43LJ5150;363.00;329.75;362;
NVR740628HDN;;;;
43VLE6621WP;;;;
32VLE4401BF;;;;
G2213S;;;;
43LJ500V;;;399;
32PHT403212;;;229;
LED320GNS;;;;
24MT41DW;;;;
UE32J5200AWXXC;299.00;263.64;;
LEDG20GN;;;;
28MT42VFPZ;;;190;
VESTA2229FHDPVR;;;;
19NVR751019HDN;;;;
LET22T1000HF;;;;
24MT49VWWZ;;;169;
LED24GNST2;;;;
22VLE4520BF;;;158;
22PFH4000;149.00;;;
24LED24NS1E;;;;
KD43XE8096BAEP;799.00;;869;
UE24H4003AWXXC;;143.80;149;
H32N2100C;;;194;
KDL49WE660BAEP;529.00;495.04;529;
KD49XD7005BAEP;;1139.67;;
KDL50W828BBAE2;;;;
LEDG321GWIFI;;;;
KDL40WE660BAEP;469.00;454.54;479;
KD55XE7096BAEP;743.00;742.98;769;
22VLE6320BF;;;;
UE49M5505AKXXC;;561.16;;
KD49X8005CBAEP;1137.00;1139.67;;
50PUS616212;;;;
43PUS616212;;;;
LEDG321G;;;;
42LK450;;;;
UE49J5200AWXXC;;371.07;;
TX49DS500E;;;699;
UE32J6200AKXXC;;;;
42LF5610;;;;
G1913S;;;;
24PHH4000;119.00;;;
32VLE6520BH;;;;
55UF7707;;;;
UE43M5505AKXXC;479.00;437.19;599;
KDL40W705CBAEP;;;;
UE32F6400AWXXC;245.00;;;
UE22ES5000WXXC;;;;
49VLE6621WP;;;;
49PUS6262;;;599;699
42LF5800;;;;
22VLE8120WF;;;;
32LH510B;;;;
QE55Q7FAMTXXC;1799.00;1734.71;;
TXL32C5E;;;;
LC26SH7EBK;;;;
UE43J5500AKXXC;;437.19;;
TX32A300E;;;;
KDL43WE750BAEP;549.00;;551;
UE65MU6405UXXC;1446.00;1445.45;;
TV970;;;;
L243NHDTV;;;;
H32M2600;;;;
M2250D;;;;
UE58J5200AWXXC;;;;
24MT47DBZ;;;;
55SJ810V;;1073.55;1.449;999
32PHS4001;;;237;
24MT48DGBZ;;;;
49LH604V;;;;
UE49K5100AWXXC;;;;
H43M3000;;;;
43UJ634V;;;;
KD65XD8505BAEP;1699.00;;;
FDLE22;;;;
